Step,No.,Color,Part name,Part no.
Model: Duck Explorer (DuckExplorer.ldr),,,,
1,1,Black,Duck Base,Base.ldr
2,1,Black,Wing Assembly,Wing.ldr
3,1,Black,Wing Assembly,Wing.ldr
4,1,Black,Duck Head Assembly,Duck Head.ldr
4,1,Black,Left Wheel Assembly and supports,Left Wheels.ldr
4,1,Black,Right Wheel Assembly and supports,Right Wheels.ldr
,,,,
Model: Duck Base (Base.ldr),,,,
1,1,Medium Gray,Plate  4 x 12,228-2500-045.dat
4,3,Medium Gray,Seat,Seat Assembly.ldr
5,4,Blue,Pin  1 M 1x1,228-2500-060.dat
6,4,Black,Connector Corner  1 x  1 x  1,228-2500-127-v2.dat
7,2,Medium Gray,Beam  2 x  4,228-2500-019.dat
8,4,Black,Connector Corner  1 x  1 x  1,228-2500-127-v2.dat
9,2,Medium Gray,Beam  2 x 12,228-2500-026.dat
10,2,Blue,Pin  1 M 1x1,228-2500-060.dat
11,1,Medium Gray,Beam  2 x  4,228-2500-019.dat
11,2,Medium Gray,Intake Flap Medium,228-2500-241.dat
,,,,
Model: Duck Mobile Seats (Seat Assembly.ldr),,,,
3,1,Medium Gray,Beam  2 x  2,228-2500-017.dat
3,1,Black,Connector  2 Wide Base  2 x  1.5 Tab,228-2500-135-v2.dat
3,1,Blue,Pin  1 M 1x1,228-2500-060.dat
,,,,
Model: Wing Assembly (Wing.ldr),,,,
1,1,Medium Gray,Beam  1 x  8 without Middle Hole,228-2500-007.dat
1,2,Blue,Pin  1 M 1x1,228-2500-060.dat
2,2,Blue,Pin  1 M 1x1,228-2500-060.dat
2,2,Medium Gray,Pin Joiner  1 M,228-2500-170.dat
4,1,Dark Gray,Intake Flap Long,228-2500-242.dat
4,1,Dark Gray,Intake Flap Medium,228-2500-241.dat
,,,,
Model: Duck Head Assembly (Duck Head.ldr),,,,
1,1,Medium Gray,Plate  4 x  4,228-2500-040.dat
2,4,Black,Connector Corner  1 x  1 x  1,228-2500-127-v2.dat
2,2,Blue,Pin  1 M 1x1,228-2500-060.dat
3,1,Medium Gray,Beam  2 x  3,228-2500-018.dat
3,4,Blue,Pin  1.5 M 1x2,228-2500-061.dat
4,1,Medium Gray,Beam  2 x  2,228-2500-017.dat
4,2,Blue,Pin  1.5 M 1x2,228-2500-061.dat
5,2,Medium Gray,Plate  4 x  4,228-2500-040.dat
6,4,Black,Connector Corner  1 x  1 x  1,228-2500-127-v2.dat
7,1,Medium Gray,Plate  4 x  4,228-2500-040.dat
8,2,White,Pin Idler  1 M 1x1,228-2500-073.dat
9,2,Maroon,Pulley 10 mm Diameter,228-2500-163.dat
10,1,Maroon,Duck Beak Assembly,Beak.ldr
11,4,Blue,Pin  1 M 1x1,228-2500-060.dat
12,1,Medium Gray,Plate  4 x  4,228-2500-040.dat
13,2,Medium Gray,Beam  1 x  2 with Rubber Band Anchor,228-2500-157.dat
14,4,Blue,Pin  1 M 1x1,228-2500-060.dat
15,1,Dark Gray,Sensor Bumper Switch,228-2677.dat
16,1,Black,Connector  2 Wide Base  2 x  1.5 Tab,228-2500-135-v2.dat
16,2,Blue,Pin  1 M 1x1,228-2500-060.dat
17,1,Dark Gray,Sensor Gyro,228-3014.dat
19,1,Dark Gray,Smart Cable 20 cm,228-2780-200.dat
,,,,
Model: Duck Beak Assembly (Beak.ldr),,,,
1,1,Blue,Pin  1.5 M 1x2,228-2500-061.dat
1,1,Dark Gray,Pin Joiner  1 M,228-2500-170.dat
2,1,Blue,Pin  1.5 M 1x2,228-2500-061.dat
3,2,Black,Connector Corner  1 x  1 x  1,228-2500-127-v2.dat
4,2,Black,Connector  1 Wide Base  1 x  1.5 Tab,228-2500-130-v2.dat
5,2,Medium Gray,Beam  2 x  4,228-2500-019.dat
,,,,
Model: Left Wheel Assembly and supports (Left Wheels.ldr),,,,
1,1,Medium Gray,Beam  1 x 13,228-2500-012.dat
2,2,Blue,Pin  1 M 1x1,228-2500-060.dat
3,2,Medium Gray,Beam  1 x  4 without Middle Hole,228-2500-003.dat
3,4,Blue,Pin  1 M 1x1,228-2500-060.dat
4,2,Metal,Axle  2 M Metal,228-2500-117.dat
4,2,Black,Rubber Axle Bush,228-2500-168.dat
5,2,Maroon,Pulley 20 mm Diameter with 100 mm Travel Tire,228-2500-164c01.dat
,,,,
Model: Right Wheel Assembly and supports (Right Wheels.ldr),,,,
1,1,Medium Gray,Beam  1 x 13,228-2500-012.dat
2,2,Blue,Pin  1 M 1x1,228-2500-060.dat
3,2,Medium Gray,Beam  1 x  4 without Middle Hole,228-2500-003.dat
3,4,Blue,Pin  1 M 1x1,228-2500-060.dat
4,2,Metal,Axle  2 M Metal,228-2500-117.dat
4,2,Black,Rubber Axle Bush,228-2500-168.dat
5,2,Maroon,Pulley 20 mm Diameter with 100 mm Travel Tire,228-2500-164c01.dat
