No.,Color,Part no.,Part name
4,VEX_Medium_Gray,228-2500-003.dat,VEX Beam  1 x  4 without Middle Hole -Vgr10-
2,VEX_Medium_Gray,228-2500-007.dat,VEX Beam  1 x  8 without Middle Hole -Vgr10-
2,VEX_Medium_Gray,228-2500-012.dat,VEX Beam  1 x 13 -Vgr2-
4,VEX_Medium_Gray,228-2500-017.dat,VEX Beam  2 x  2 -Vgr2-
1,VEX_Medium_Gray,228-2500-018.dat,VEX Beam  2 x  3 -Vgr2-
5,VEX_Medium_Gray,228-2500-019.dat,VEX Beam  2 x  4 -Vgr2-
2,VEX_Medium_Gray,228-2500-026.dat,VEX Beam  2 x 12 -Vgr2-
5,VEX_Medium_Gray,228-2500-040.dat,VEX Plate  4 x  4 -Vgr2-
1,VEX_Medium_Gray,228-2500-045.dat,VEX Plate  4 x 12 -Vgr2-
41,VEX_Blue,228-2500-060.dat,VEX Pin  1 M 1x1 -Vgr3-
8,VEX_Blue,228-2500-061.dat,VEX Pin  1.5 M 1x2 -Vgr3-
2,VEX_White,228-2500-073.dat,VEX Pin Idler  1 M 1x1 -Vgr3-
4,Metal,228-2500-117.dat,VEX Axle  2 M Metal -Vgr1-
18,VEX_Black,228-2500-127-v2.dat,VEX Connector Corner  1 x  1 x  1 -Vgr4-
2,VEX_Black,228-2500-130-v2.dat,VEX Connector  1 Wide Base  1 x  1.5 Tab -Vgr4-
4,VEX_Black,228-2500-135-v2.dat,VEX Connector  2 Wide Base  2 x  1.5 Tab -Vgr4-
2,VEX_Medium_Gray,228-2500-157.dat,VEX Beam  1 x  2 with Rubber Band Anchor -Vgr2-
2,VEX_Maroon,228-2500-163.dat,VEX Pulley 10 mm Diameter -Vgr5-
4,VEX_Maroon,228-2500-164c01.dat,VEX Pulley 20 mm Diameter with 100 mm Travel Tire -Vgr5-
4,VEX_Black,228-2500-168.dat,VEX Rubber Axle Bush -Vgr1-
5,VEX_Dark_Gray,228-2500-170.dat,VEX Pin Joiner  1 M -Vgr3-
4,VEX_Dark_Gray,228-2500-241.dat,VEX Intake Flap Medium -Vgr6-
2,VEX_Dark_Gray,228-2500-242.dat,VEX Intake Flap Long -Vgr6-
1,VEX_Dark_Gray,228-2677.dat,VEX Sensor Bumper Switch -Vgr7-
1,VEX_Dark_Gray,228-2780-200.dat,VEX Smart Cable 20 cm -Vgr7-
1,VEX_Dark_Gray,228-3014.dat,VEX Sensor Gyro -Vgr7-
